odom robot x,odom robot y,odom robot th,icp robot x,icp robot y,icp robot th,final robot x,final robot y,final robot th
85.961525,471.246613,92.976074,98.162857,465.750488,97.659393,88.401794,470.1474,93.912735
74.330292,83.481789,88.485992,76.050789,82.0784,89.928612,74.3647,83.45372,88.774513
95.279114,484.277527,85.720978,104.031891,483.7034,88.85231,97.029671,484.162689,86.347244
95.356567,519.224365,-2.402252,101.290276,517.271912,-0.773352,96.543312,518.833862,-2.076472
153.873474,523.740723,2.822327,156.511017,519.443787,2.321802,154.400986,522.881348,2.772274
193.52771,525.67218,1.215881,194.855881,520.361877,0.325477,193.79335,524.610107,1.126841
222.572815,527.102051,0.197174,224.474136,520.555115,-2.086002,222.953079,525.792664,-0.259461
340.79306,528.420288,5.351952,346.562256,510.95993,3.588343,341.946899,524.928223,4.99923
387.397186,532.813904,6.531998,393.190887,514.997681,4.548876,388.555939,529.250671,6.135373
439.256989,539.648438,7.760254,438.012329,516.455505,2.760972,439.008057,535.009827,6.760397
572.296082,555.682495,8.843178,576.595581,522.151611,4.071333,573.156006,548.976318,7.888809
89.748459,100.782188,89.134537,91.057816,99.972473,89.99379,89.70266,100.764465,89.414856
147.26709,365.595459,91.346504,162.672058,353.193604,90.92205,150.348083,363.115082,91.304062
151.296051,389.635193,89.478699,157.416824,381.286011,90.280853,152.520203,387.965363,89.558914
152.034576,385.534851,88.991425,152.080536,381.6427,87.530891,152.035492,385.457001,88.699318
152.242493,427.513611,89.149811,151.640244,423.627167,88.423843,152.230453,427.435883,89.077217
152.507477,456.942505,88.768921,153.947037,452.660461,89.020271,152.53627,456.856873,88.794052
152.825897,494.098816,89.287811,154.024582,491.765045,90.003716,152.849869,494.052155,89.359406
153.345657,520.662598,89.101242,154.044022,515.246826,89.228157,153.485336,519.579468,89.113937
154.07077,540.949463,88.926941,154.978683,535.440491,89.731148,154.25235,539.847656,89.007362
153.894714,559.340515,89.344818,157.283463,555.153687,91.270134,154.572464,558.503174,89.729881
153.112778,558.347595,1.62085,156.384491,554.927551,0.014353,153.178207,558.279175,1.29955
215.366776,557.677002,-0.511841,221.579758,548.419434,-4.170923,216.609375,555.8255,-1.243657
230.559021,559.770569,8.011795,234.738754,550.024048,4.983569,231.394974,557.821289,7.40615
249.468796,547.497925,8.60318,252.406799,536.302429,4.657739,250.056396,545.25885,7.814092
291.84198,530.938416,8.205795,294.947235,518.817871,3.462855,292.463043,528.514282,7.257207
302.882812,532.577393,8.268036,305.897949,519.797668,3.410362,303.48584,530.021423,7.296501
323.566986,536.37915,8.313934,327.63443,521.298645,2.809767,324.380463,533.363037,7.763517
340.769012,538.710938,8.470505,346.667328,519.175842,5.465074,341.948669,534.803894,7.869419
368.626404,543.073792,7.796326,372.983887,522.852356,2.38416,369.497894,539.02948,7.255109
394.464783,547.417664,8.137177,396.263763,522.201477,3.115896,394.824585,542.374451,7.635048
413.261658,550.616333,8.454865,419.149994,525.11084,3.902152,414.439331,545.515259,7.544322
439.103333,554.682007,8.291702,447.760345,529.406372,7.605274,440.834747,549.626892,8.22306
467.573547,559.253357,8.711807,474.018005,531.086731,7.047118,468.862427,553.620056,8.378869
512.032104,567.171814,8.291611,505.725403,525.90979,-0.005333,511.905975,566.346558,7.461916
538.839966,571.702209,8.525467,534.574768,527.681946,1.096397,538.754639,570.821777,7.78256
646.296631,588.901855,7.757309,648.520813,530.515808,-0.522358,646.341125,587.734131,6.929342
662.54126,591.392761,8.005417,664.928467,530.611572,-0.112489,662.588989,590.177124,7.193626
674.338867,593.029968,8.09761,677.126282,531.832153,0.040578,674.394592,591.80603,7.291907
691.452271,595.784546,8.144043,692.487732,532.272644,0.403081,691.472961,594.514282,7.369947
788.708374,133.166809,104.073303,737.375977,61.085983,96.829025,787.681702,131.725189,103.348877
782.924866,154.779129,104.309753,566.36853,82.427376,-63.967953,778.59375,153.332092,87.481979
772.304688,195.425995,103.567009,731.456482,105.088577,85.530502,771.487732,193.619247,101.763359
639.549194,587.60498,102.551849,662.044556,525.592651,93.623367,639.999084,586.364746,101.659004
526.097351,325.206238,-172.440842,502.847778,283.463989,-181.837494,525.632385,324.371399,-173.380508
405.12854,308.551208,-176.230942,383.346313,293.114563,-185.83403,400.772095,305.463867,-177.191254
355.406921,304.81839,-176.885742,342.09079,299.579559,-185.846832,352.743683,303.77063,-177.781845
330.638855,299.694153,-168.525391,332.162048,300.765167,-176.840408,330.669312,299.715576,-169.356888
