x_odo,y_odo,theta_odo,x_icp,y_icp,theta_icp,score_icp
400.00,600.00,90.00,417.59,531.89,142.06,1381.03
399.99,600.01,90.00,415.41,525.72,132.89,1353.93
399.99,600.01,90.00,414.60,527.26,136.24,1412.09
399.99,591.30,90.00,421.02,521.48,134.74,1355.78
400.17,586.51,90.00,420.57,524.55,138.29,1469.36
400.23,585.43,90.00,452.56,462.19,126.21,196.63
400.47,582.52,90.00,419.21,529.64,110.84,1136.92
400.77,575.20,90.00,417.62,524.05,107.19,1093.45
400.76,574.08,90.00,409.73,531.92,91.61,447.98
401.03,568.70,90.00,411.79,526.43,92.89,333.76
401.17,564.12,90.00,415.27,519.16,93.43,203.74
401.20,564.67,90.00,412.89,515.40,91.93,70.40
401.27,564.32,90.39,409.47,514.43,90.41,59.42
401.44,563.29,90.39,410.39,514.75,90.08,165.55
401.45,563.30,90.39,411.42,516.55,90.81,74.77
401.65,562.37,90.39,410.87,516.08,90.39,95.61
401.84,561.42,90.39,412.15,517.37,91.34,58.92
402.05,560.52,90.39,415.29,516.40,92.39,84.21
402.31,559.64,90.39,412.38,515.56,91.28,81.85
402.52,558.74,90.39,413.16,513.01,91.20,215.26
402.52,558.74,90.39,412.67,515.00,91.10,155.35
402.52,558.74,90.39,411.64,516.33,90.98,67.66
402.70,557.89,90.45,410.89,516.09,90.37,89.11
402.87,557.06,90.45,414.37,516.43,92.29,84.65
403.10,556.24,90.81,415.55,516.29,92.55,87.94
403.34,555.44,90.81,411.58,515.64,90.87,93.18
403.51,554.65,90.81,411.04,515.03,89.90,128.31
403.51,554.65,90.81,410.28,515.37,89.94,105.65
404.09,546.74,90.73,414.38,515.92,92.82,97.04
396.80,540.29,90.73,405.22,515.21,92.13,139.41
394.42,540.10,90.73,397.33,515.87,92.90,174.27
388.27,540.06,90.73,387.72,517.99,92.86,100.85
382.53,535.54,91.15,378.45,516.16,93.53,150.83
376.15,535.26,91.15,371.49,510.35,97.17,380.15
369.97,535.07,91.15,359.15,508.91,97.83,378.61
368.40,535.02,91.15,355.26,504.38,99.33,594.56
362.87,534.86,91.15,349.00,502.41,99.72,687.71
355.69,534.55,91.15,338.50,498.06,98.30,1058.15
350.18,534.30,91.15,329.64,504.39,95.59,961.24
344.56,534.12,91.15,325.78,502.03,94.28,1204.85
342.56,534.01,91.15,316.90,502.89,89.52,1540.03
